strategy,root_seed,checkpoint_epoch,selection_split,selection_score,trajectory_count,eligible_within_agent,selected_within_agent,selected_across_agents,test_or_formal_used,checkpoint_tensor_sha256,training_lineage_sha256,status
mf,910051,480,validation_only,0.4046072114804399,64,True,False,False,False,dffe3b588a6372e48f647625162c553076a3530d8ca61c5ea6b5ab8a9d38508e,3813825226a5996cdc4a68eac4c9aeee114ee76cbb97f5d638ddfbb897cc5c68,COMPLETE
mf,910051,520,validation_only,0.4046222211093897,64,True,False,False,False,8dfc544a321023866c943571e8c3822bb9324ed9c2783977b3974d7e9a57731a,b394af907b17cac5a21649e17ec6c1147d8426f46ef44a4aab3543d368af4db0,COMPLETE
mf,910051,560,validation_only,0.39713525776891057,64,True,False,False,False,63657f2b33312bd32c290321f61a8ead08200f4b4fcfe20a2413a532721d84d2,b8f304a74c56b4776382d5203c454b2c29d6722081630516fd8328b53d065389,COMPLETE
mf,910051,600,validation_only,0.4010799676738721,64,True,False,False,False,02e15e690257b2d6fc7320d6224b0197c3679df04f310ed60e2df7f9a6bb200e,d0b2527036e4a279f80f48d7a0792ba8edb2280312c1d9a680505913511068ea,COMPLETE
mf,910051,640,validation_only,0.3942146539771254,64,True,False,False,False,2dc65e9c11fa7b1994266741672c4a65f48dd849bc0a1ef44d252d26ac8cc998,8f5b092940f5bf09a1ad58576854599a558a53c0d0df4761c37e23891b1d8516,COMPLETE
mf,910051,680,validation_only,0.4032108588750224,64,True,False,False,False,dc2b84e6042e3f4f97f7227faf96249d2c5c6e9a83f9f16acf11dbb0bb415913,48e6f00e0fbb380a7c472bd5e7218b4df9b0a6acf3d2fa1e24f983d9686d6458,COMPLETE
mf,910051,720,validation_only,0.40807783302557077,64,True,False,False,False,45ba8580389e944e8592e584119f83c42d316492fe38b8bc401c3a127e2a334e,4d689f22c6d4d572bbdd326b4ca53effec163cf5c32d3197a2e29477ce670f3d,COMPLETE
mf,910051,760,validation_only,0.40086321159888627,64,True,False,False,False,1256bc202ba0ffac3072029f3a6bb65ed07680072249905b2b78b01f356b34fd,5cabbe8af909ebf5c6474f1f653644b2a871ef994439560611a6f258b30e01ed,COMPLETE
mf,910051,800,validation_only,0.40536587045160133,64,True,False,False,False,69823a45b1145e346c2480870d723c3a05f3f6128ea28453bee9218626c346c6,f75fd23ad7f4a165c84bde0ecff472d0d515024d54593c1a46db257b88fb5d34,COMPLETE
mf,910051,840,validation_only,0.40988348231831806,64,True,False,False,False,a166d13aee6dba2f3233912911d99e9fd99de9e02c5d548538f46e0cd3decb0c,174ef641c6921e6c149d02af329e10eb6493a09f09916a66e12ac932110bef13,COMPLETE
mf,910051,880,validation_only,0.40479591711270324,64,True,False,False,False,651344ccf51710d1daf70803b55f5e49121a80c678d537e74d2ae33f946a81d5,9b71ffb9dd187b8c84265fb57ec8ba0855d22bf65910225791f136e057b5d0f4,COMPLETE
mf,910051,920,validation_only,0.39693532611793575,64,True,False,False,False,7b414e0d805684a5c7e10f90a34d5dfe9bafc5dc852c97e644242bb60fe434ab,fcee91be76d9978606a3d65237ab199295c7a020e424e3e62d0f08094cd8d42a,COMPLETE
mf,910051,960,validation_only,0.4044276998844256,64,True,False,False,False,8516897e4a55820cf2a90816bf86d22a9d6d8f146d9017d31b9ed586205e95ef,1c818063827147a147366378969a1d4e875007ca23f5fe8843888953a8e08928,COMPLETE
mf,910051,1000,validation_only,0.41206837336512586,64,True,True,False,False,8db58e5843ad239f71b078b9764922eff94a630b8af670d26d73c1ce28367d69,8fc9e8c7f4ad6ea0948a2beb002a9ef757019b6797ef00106a064fa15dae84bc,COMPLETE
mf,910069,0,validation_only,0.21149052535785848,64,True,False,False,False,1711f7786b83256697804fcdaf214fbed3b8a0a9dbe03b27029cf3647d8db22a,7c313705501a0c20e2151d0f31eadbc22aa02e6ea3557a77a975a29dd9fc9637,COMPLETE
